dataYear,dataMonth,accountId,phoneNumber,dataUsage,callDuration,smsCount
2025,3,1001,404-555-1234,3123.78,467,58
2025,3,1002,404-555-5678,4123.89,599,78
2025,3,1003,404-555-9101,2456.56,377,48
2025,3,1004,404-555-2345,5234.12,745,97
2025,3,1005,404-555-6789,3345.45,533,69
2025,3,1006,404-555-1112,4345.23,667,88
2025,3,1007,404-555-1314,2890.67,499,64
2025,3,1008,404-555-1516,4890.56,789,103
2025,3,1009,404-555-1718,3234.01,555,72
2025,3,1010,404-555-1920,3890.45,623,81
2025,3,1011,404-555-2122,2345.34,423,53
2025,3,1012,404-555-2324,5012.89,811,106
2025,3,1013,404-555-2526,3345.12,577,75
2025,3,1014,404-555-2728,4234.34,689,90
2025,3,1015,404-555-2930,2789.56,489,62
2025,3,1016,404-555-3132,4890.78,733,96
2025,3,1017,404-555-3334,3345.23,599,78
2025,3,1018,404-555-3536,4112.56,645,84
2025,3,1019,404-555-3738,2534.01,445,56
2025,3,1020,404-555-3940,5234.34,767,100
2025,3,1021,404-555-4142,2234.56,334,45
2025,3,1022,404-555-4344,3345.67,467,64
2025,3,1023,404-555-4546,1789.12,245,33
2025,3,1024,404-555-4748,4456.78,623,85
2025,3,1025,404-555-4950,2567.89,389,53
2025,3,1026,404-555-5152,3678.01,534,73
2025,3,1027,404-555-5354,2123.45,356,48
2025,3,1028,404-555-5556,4234.67,678,92
2025,3,1029,404-555-5758,2678.90,445,61
2025,3,1030,404-555-5960,3456.23,512,70
2025,3,1031,404-555-6162,1890.34,289,39
2025,3,1032,404-555-6364,4567.12,701,95
2025,3,1033,404-555-6566,2789.45,467,64
2025,3,1034,404-555-6768,3567.78,578,79
2025,3,1035,404-555-6970,2234.01,378,51
2025,3,1036,404-555-7172,4345.56,634,87
2025,3,1037,404-555-7374,2890.12,489,67
2025,3,1038,404-555-7576,3678.34,556,76
2025,3,1039,404-555-7778,2123.67,334,46
2025,3,1040,404-555-7980,4567.89,656,90
2025,3,1041,404-555-8182,2456.78,356,47
2025,3,1042,404-555-8384,3567.89,489,66
2025,3,1043,404-555-8586,1901.34,267,35
2025,3,1044,404-555-8788,4678.12,645,87
2025,3,1045,404-555-8990,2789.23,411,55
2025,3,1046,404-555-9192,3890.34,556,75
2025,3,1047,404-555-9394,2345.67,378,50
2025,3,1048,404-555-9596,4456.89,701,94
2025,3,1049,404-555-9798,2890.12,467,63
2025,3,1050,404-555-0001,3678.45,534,72
