dataYear,dataMonth,accountId,phoneNumber,dataUsage,callDuration,smsCount
2025,1,1001,404-555-1234,2345.67,356,47
2025,1,1002,404-555-5678,3456.78,489,68
2025,1,1003,404-555-9101,1890.45,267,38
2025,1,1004,404-555-2345,4567.89,634,87
2025,1,1005,404-555-6789,2678.34,423,59
2025,1,1006,404-555-1112,3789.12,556,78
2025,1,1007,404-555-1314,2234.56,389,54
2025,1,1008,404-555-1516,4123.45,678,93
2025,1,1009,404-555-1718,2567.89,445,62
2025,1,1010,404-555-1920,3234.67,512,71
2025,1,1011,404-555-2122,1789.23,312,43
2025,1,1012,404-555-2324,4456.78,701,96
2025,1,1013,404-555-2526,2678.90,467,65
2025,1,1014,404-555-2728,3567.12,578,80
2025,1,1015,404-555-2930,2123.45,378,52
2025,1,1016,404-555-3132,4234.67,623,86
2025,1,1017,404-555-3334,2789.34,489,68
2025,1,1018,404-555-3536,3456.89,534,74
2025,1,1019,404-555-3738,1967.23,334,46
2025,1,1020,404-555-3940,4567.12,656,90
2025,1,1021,404-555-4142,2567.89,378,50
2025,1,1022,404-555-4344,3678.01,511,70
2025,1,1023,404-555-4546,2012.67,289,40
2025,1,1024,404-555-4748,4789.23,656,89
2025,1,1025,404-555-4950,2890.56,445,61
2025,1,1026,404-555-5152,3901.34,578,80
2025,1,1027,404-555-5354,2456.78,411,56
2025,1,1028,404-555-5556,4345.67,701,95
2025,1,1029,404-555-5758,2789.12,467,64
2025,1,1030,404-555-5960,3456.89,534,73
2025,1,1031,404-555-6162,1901.45,334,45
2025,1,1032,404-555-6364,4678.01,723,98
2025,1,1033,404-555-6566,2890.23,489,67
2025,1,1034,404-555-6768,3789.45,601,82
2025,1,1035,404-555-6970,2345.67,401,54
2025,1,1036,404-555-7172,4456.89,645,88
2025,1,1037,404-555-7374,2901.12,511,70
2025,1,1038,404-555-7576,3678.34,556,76
2025,1,1039,404-555-7778,2089.56,356,48
2025,1,1040,404-555-7980,4789.45,678,92
2025,1,1041,404-555-8182,2789.12,401,52
2025,1,1042,404-555-8384,3789.23,533,72
2025,1,1043,404-555-8586,2123.89,311,42
2025,1,1044,404-555-8788,4901.45,678,91
2025,1,1045,404-555-8990,3012.78,467,63
2025,1,1046,404-555-9192,4012.56,601,82
2025,1,1047,404-555-9394,2567.01,433,58
2025,1,1048,404-555-9596,4567.89,723,97
2025,1,1049,404-555-9798,2901.34,489,66
2025,1,1050,404-555-0001,3567.78,556,75
2025,2,1001,404-555-1234,2012.67,356,47
2025,2,1002,404-555-5678,4789.23,745,100
2025,2,1003,404-555-9101,3012.45,511,69
2025,2,1004,404-555-2345,3901.67,623,84
2025,2,1005,404-555-6789,2456.89,423,56
2025,2,1006,404-555-1112,4567.12,667,90
2025,2,1007,404-555-1314,3012.56,533,72
2025,2,1008,404-555-1516,3789.78,578,78
2025,2,1009,404-555-1718,2201.34,378,50
2025,2,1010,404-555-1920,4901.67,701,94
2025,2,1011,404-555-2122,2901.34,423,54
2025,2,1012,404-555-2324,3901.45,555,74
2025,2,1013,404-555-2526,2234.12,333,44
2025,2,1014,404-555-2728,5012.67,701,93
2025,2,1015,404-555-2930,3123.01,489,65
2025,2,1016,404-555-3132,4123.78,623,84
2025,2,1017,404-555-3334,2678.23,455,60
2025,2,1018,404-555-3536,4678.12,745,99
2025,2,1019,404-555-3738,3012.56,511,68
2025,2,1020,404-555-3940,3678.01,578,77
2025,2,1021,404-555-4142,2123.89,378,49
2025,2,1022,404-555-4344,4890.45,767,102
2025,2,1023,404-555-4546,3123.67,533,71
2025,2,1024,404-555-4748,4012.89,645,86
2025,2,1025,404-555-4950,2567.12,445,58
2025,2,1026,404-555-5152,4678.34,689,92
2025,2,1027,404-555-5354,3123.78,555,74
2025,2,1028,404-555-5556,3890.12,601,80
2025,2,1029,404-555-5758,2312.56,401,52
2025,2,1030,404-555-5960,5012.89,723,96
2025,2,1031,404-555-6162,3012.56,445,56
2025,2,1032,404-555-6364,4012.67,577,76
2025,2,1033,404-555-6566,2345.34,355,46
2025,2,1034,404-555-6768,5123.89,723,95
2025,2,1035,404-555-6970,3234.23,511,67
2025,2,1036,404-555-7172,4234.01,645,86
2025,2,1037,404-555-7374,2789.45,477,62
2025,2,1038,404-555-7576,4789.34,767,101
2025,2,1039,404-555-7778,3123.78,533,70
2025,2,1040,404-555-7980,3789.23,601,79
2025,2,1041,404-555-8182,2234.12,401,51
2025,2,1042,404-555-8384,4901.67,789,104
2025,2,1043,404-555-8586,3234.89,555,73
2025,2,1044,404-555-8788,4123.12,667,88
2025,2,1045,404-555-8990,2678.34,467,60
2025,2,1046,404-555-9192,4789.56,711,94
2025,2,1047,404-555-9394,3234.01,577,76
2025,2,1048,404-555-9596,4001.34,623,82
2025,2,1049,404-555-9798,2423.78,423,54
2025,2,1050,404-555-0001,5123.12,745,98
2025,3,1001,404-555-1234,3123.78,467,58
2025,3,1002,404-555-5678,4123.89,599,78
2025,3,1003,404-555-9101,2456.56,377,48
2025,3,1004,404-555-2345,5234.12,745,97
2025,3,1005,404-555-6789,3345.45,533,69
2025,3,1006,404-555-1112,4345.23,667,88
2025,3,1007,404-555-1314,2890.67,499,64
2025,3,1008,404-555-1516,4890.56,789,103
2025,3,1009,404-555-1718,3234.01,555,72
2025,3,1010,404-555-1920,3890.45,623,81
2025,3,1011,404-555-2122,2345.34,423,53
2025,3,1012,404-555-2324,5012.89,811,106
2025,3,1013,404-555-2526,3345.12,577,75
2025,3,1014,404-555-2728,4234.34,689,90
2025,3,1015,404-555-2930,2789.56,489,62
2025,3,1016,404-555-3132,4890.78,733,96
2025,3,1017,404-555-3334,3345.23,599,78
2025,3,1018,404-555-3536,4112.56,645,84
2025,3,1019,404-555-3738,2534.01,445,56
2025,3,1020,404-555-3940,5234.34,767,100
2025,3,1021,404-555-4142,2234.56,334,45
2025,3,1022,404-555-4344,3345.67,467,64
2025,3,1023,404-555-4546,1789.12,245,33
2025,3,1024,404-555-4748,4456.78,623,85
2025,3,1025,404-555-4950,2567.89,389,53
2025,3,1026,404-555-5152,3678.01,534,73
2025,3,1027,404-555-5354,2123.45,356,48
2025,3,1028,404-555-5556,4234.67,678,92
2025,3,1029,404-555-5758,2678.90,445,61
2025,3,1030,404-555-5960,3456.23,512,70
2025,3,1031,404-555-6162,1890.34,289,39
2025,3,1032,404-555-6364,4567.12,701,95
2025,3,1033,404-555-6566,2789.45,467,64
2025,3,1034,404-555-6768,3567.78,578,79
2025,3,1035,404-555-6970,2234.01,378,51
2025,3,1036,404-555-7172,4345.56,634,87
2025,3,1037,404-555-7374,2890.12,489,67
2025,3,1038,404-555-7576,3678.34,556,76
2025,3,1039,404-555-7778,2123.67,334,46
2025,3,1040,404-555-7980,4567.89,656,90
2025,3,1041,404-555-8182,2456.78,356,47
2025,3,1042,404-555-8384,3567.89,489,66
2025,3,1043,404-555-8586,1901.34,267,35
2025,3,1044,404-555-8788,4678.12,645,87
2025,3,1045,404-555-8990,2789.23,411,55
2025,3,1046,404-555-9192,3890.34,556,75
2025,3,1047,404-555-9394,2345.67,378,50
2025,3,1048,404-555-9596,4456.89,701,94
2025,3,1049,404-555-9798,2890.12,467,63
2025,3,1050,404-555-0001,3678.45,534,72
2025,4,1051,404-555-0102,2012.56,311,41
2025,4,1052,404-555-0203,4789.23,723,97
2025,4,1053,404-555-0304,2901.67,489,66
2025,4,1054,404-555-0405,3789.01,601,81
2025,4,1055,404-555-0506,2456.34,401,53
2025,4,1056,404-555-0607,4567.78,656,89
2025,4,1057,404-555-0708,3012.45,511,69
2025,4,1058,404-555-0809,3890.67,578,78
2025,4,1059,404-555-0910,2345.01,356,48
2025,4,1060,404-555-1011,4789.56,678,92
